Area,Capability,Apple,Android,Assessment,Apple evidence,Android evidence,Action
Identity & sync,VortX account and encrypted cross-device sync,Implemented; v2 write migration still disabled,"Implemented, including realtime manager",Near parity,VortXSyncManager.swift,sync/VortXSyncManager.kt,Finish Apple v2 ratchet migration
Identity & sync,Stremio account sign-in/import,Implemented,Implemented,Parity,CoreBridge/Auth surfaces,EngineStremioRepository/auth UI,
Identity & sync,"Profiles, PIN and Kids restrictions",Implemented,Implemented on phone and TV,Parity,Profiles.swift and profile UI,profile/* and Who's Watching screens,
Identity & sync,Per-profile own Stremio account binding,Implemented account-switch outcomes,Partial; selection carries current session and ignores switch outcome,Android behind,Profiles.swift/account scope,WhosWatchingScreen.kt; TvWhosWatchingScreen.kt,P1
Identity & sync,Settings backup/restore,Fuller export/import with secret filtering,Partial roster-oriented implementation,Android behind,SettingsBackup.swift,backup/SettingsBackup.kt,P1
Add-ons,Install/remove/update/disable/reorder and store/pairing,Implemented,Implemented,Broad parity,CoreBridge/add-on views,CatalogRepository and add-on UI,
Browsing,"Home, Discover, Search, Library and Live",Implemented across Apple shells,Implemented on phone and TV,Parity,SourcesTV/SourcesiOS/SourcesShared,ui/screens and ui/tv,
Browsing,Merge Discover and Search,Implemented,Implemented,Parity; Android comment is stale,Apple browse models,VortXApp.kt,
Browsing,Home/Discover customization controls,Implemented,Several visible toggles lack consumers,Android behind,Apple settings + consumers,HomeDiscoverPreferences.kt,P1
Browsing,"Detail financials, spoiler-safe/blur and poster-label controls",Implemented,Settings exposed; consumers incomplete,Android behind,Apple detail/settings,HomeDiscoverPreferences.kt,P1
Metadata,Trailers,Metadata-derived request path implemented,Partial; factory/model fields not ported,Android behind,Trailer resolver/models,model/TrailerRequest.kt,P1
Metadata,More Like This,TMDB plus add-on/catalog merge,TMDB leg only,Android behind,Apple similar/recommendation code,catalog/SimilarClient.kt,P2
Metadata,Ratings and person/title metadata,Implemented,Implemented,Broad parity,Ratings/person clients,ratings/catalog UI,
External services,Trakt and SIMKL,Implemented,Implemented,Broad parity,TraktService.swift and SIMKL code,trakt/* and simkl/*,
External services,"Plex, Jellyfin and Emby",Implemented,Implemented,Broad parity,media-server clients,mediaserver/*,
Live TV,"IPTV playlists, guides and playback",Implemented,Implemented,Broad parity,IPTV shared/Apple UI,iptv/*,
Sources,"Debrid, direct HTTP, torrent/streaming server and Usenet/TorBox paths",Implemented,Implemented,Broad parity; route differences remain,DebridResolver/TorBox/stream server,"debrid/*, torbox/*, engine/*",
Sources,Community Source Index / Singularity,Implemented/feature-gated,Compiled but hard-disabled,Android behind,SourceIndexClient.swift,singularity/SourceIndexClient.kt,P2 or remove
Playback,libmpv engine,Implemented with native END_FILE reason handling,Implemented in full flavor; END_FILE reason lost,Android correctness gap,MPVMetalViewController.swift,mpv/MPVLib.kt; MpvPlayer.kt,P0
